restaurant_name,website,contact_page,google_rating,review_count
Petite Brasserie,https://www.caesars.com/caesars-new-orleans/restaurants/emerils-petite-brasserie?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR16&utm_content=restaurant&y_source=1_MTAyMjgyMDQyNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,4.1,45.0
Origen Bistro,https://www.instagram.com/bistro_origen/,,4.7,43.0
Rollin Fatties,https://www.facebook.com/rollinfattiesnola,https://www.facebook.com/help/637205020878504,4.8,39.0
Pizza Bella,http://pizzabellala.com/,,4.8,38.0
Lufu Nola - French Quarter,http://lufunolafq.com/,,4.8,35.0
Chick-fil-A,https://www.chick-fil-a.com/locations/la/university-of-new-orleans?utm_source=yext&utm_medium=link,,3.4,35.0
The Soup Garden,http://thesoupgardennola.com/,,4.9,34.0
Southern Girl Creole Cafe,https://southerngirlcreolecafe.toast.site/,,4.9,33.0
Red apple Chinese cuisine,https://www.smorefood.com/order-online/red-apple--new-orleans-east-new-orleans-70127-0yio65tl?utm_source=gmb&utm_medium=website,,4.2,32.0
Bang Bang Hibachi,https://www.bangbanghibachila.com/,,4.2,32.0
Taco Fuego,https://www.facebook.com/profile.php?id=61554964400314,,3.7,30.0
Hot & Soul,https://www.facebook.com/hotandsoul/,https://www.facebook.com/help/637205020878504,4.9,30.0
Love Orleans,https://instagram.com/loveorleansnola_?igshid=MmU2YjMzNjRlOQ==,,4.4,29.0
Cause & the Cure NOLA,https://causeandthecurenola.com/,,4.9,29.0
Cafe Cour,http://cafecournola.com/,,4.6,29.0
Mother of Pearl,http://motherofpearlnola.com/,,5.0,27.0
Glizzies By Poppa,https://www.instagram.com/glizziesbypoppallc,,5.0,25.0
The Food Lab,https://thefoodlabno.com/,https://thefoodlabno.com/contact-us/,5.0,23.0
Philly Dat Up,https://www.phillydatup.com/datupneworleans,,4.2,23.0
Thai Zaap Express West End,https://order.toasttab.com/online/thai-zaap-express-7211-regent-street,,4.4,23.0
GILDA CUISINE,https://www.gildacuisine.com/,,3.3,22.0
Love & Pie,https://www.loveandpienola.com/#/,,3.9,21.0
Cypress Knee Café,https://audubonnatureinstitute.org/zoo-dining/,https://audubonnatureinstitute.org/contact-us,3.1,21.0
Grand Isle Seafood,https://www.caesars.com/caesars-new-orleans/restaurants/grand-isle-seafood-restaurant?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR18&utm_content=restaurant&y_source=1_MTAyODQ3ODQ0OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,4.8,20.0
Pelican Delicatessen,http://www.facebook.com/pelicandelicatessen,,5.0,20.0
Bonafried Truck,https://www.facebook.com/BonafriedTruck,https://www.facebook.com/help/637205020878504,5.0,18.0
Paddy Daddy Stuffed Burgers,http://paddy-daddy-stuffed-burgers.business.site/,,5.0,16.0
Kerry's Natural Lemonade Esined LLC,http://kerrysnaturallemonade.com/,,5.0,15.0
Auntie Carols Creole Kitchen,https://order.toasttab.com/online/gskitchenandbar,,3.6,15.0
Vegan AF Nola,http://ubereats.com/veganaf,,4.4,15.0
Smash House - Nola,https://www.smashhousenola.com/,,4.1,14.0
HOOK an ANCHOR,https://www.hookananchor.com/,,5.0,13.0
Langlois Culinary Crossroads,http://www.langloisnola.com/,https://langloisnola.com/contact/,5.0,13.0
Caribbean Pot LA,http://caribbeanpotla.com/,,4.6,12.0
Welty’s Pizzeria,http://weltyspizzeria.com/,,4.2,10.0
JJ sushi&poke,https://topbusinessesusa.top/details/jj-sushipoke-ChIJ6XG,,4.7,10.0
Pizza Consegna,http://www.pizzaconsegna.com/,,2.8,10.0
Minnie and John's,https://www.minnieandjohns.com/,,4.6,9.0
Kim Son Express,https://kimsonexpress.kwickmenu.com/index.php,,3.4,9.0
We Dat’s,https://wedats.com/,,2.6,8.0
2Geaux Pho Bar,https://www.caesars.com/harrahs-new-orleans/restaurants/2geaux-pho-bar?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR1&utm_content=restaurant&y_source=1_MTAxMTI2MzYzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,4.3,8.0
Get Your Mom and Dim Sum,https://www.instagram.com/geturdimsum/,,4.4,7.0
Wing Boss,https://www.wingboss.com/locations/Louisiana/Harahan/la-6027-new-orleans-wing-boss-1?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website,https://wingboss.com/contact/talk-to-wingboss,2.1,7.0
Ethnicity Love Burger,https://www.ethnicityloveburger.com/#/,,3.3,7.0
Taqueria La Coyota #3,https://usmaperx.org/details/taqueria-la-coyota-3-ChIJqVe,,3.7,6.0
"Que Pasta Nola, New Orleans, LA",https://www.instagram.com/quepasta_nola_latin_streetfood/,,4.3,6.0
Fried chicken Po Boys,https://usmapol.org/details/fried-chicken-po-boys-ChIJFeB,,4.0,5.0
El churrasco chapin LLC,https://order.online/business/el-churasco-chapin-llc-11107066,,5.0,5.0
Chick-fil-A,https://www.chick-fil-a.com/locations/la/loyola-university?utm_source=yext&utm_medium=link,,1.0,4.0
Jade Buddha,https://www.jadebuddhala.com/,,3.7,3.0
Clubhouse Dining at Fair Grounds Race Course & Slots,https://www.fairgroundsracecourse.com/dining/clubhouse-dining/,https://www.fairgroundsracecourse.com/contact/,4.0,2.0
SWEGS Kitchen,http://www.swegskitchen.com/,https://swegskitchen.com/contact-us/,2.5,2.0
FOOD TRUCK PAISANOS MIX TAQUERIA 🌮,https://www.facebook.com/share/16ubmkr9p2/?mibextid=wwXIfr,,5.0,1.0
Burgers By you,https://burgersbyyou.com/,,4.0,1.0
Athenian,https://athenianfood.com/,https://athenianfood.com/contact,4.0,1.0
Krispy Krunchy Chicken,https://locations.krispykrunchy.com/la/new-orleans/1601-elysian-fields,https://www.krispykrunchy.com/contact/,5.0,1.0
ATTI NOLA,https://www.instagram.com/atti_nola?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,5.0,1.0
Krispy Krunchy Chicken,https://locations.krispykrunchy.com/la/new-orleans/5151-canal-blvd,https://www.krispykrunchy.com/contact/,5.0,1.0
Krispy Krunchy Chicken,https://www.krispykrunchy.com/?_gl=1*1hnl3b7*_gcl_au*MTEzMDIzMjQ4Ni4xNzYxNjc2MDg2*_ga*MTM4MDcwMDYxLjE3NjE2NzYwODg.*_ga_VMLLPETCW5*czE3NjE3NDgzNjgkbzIkZzEkdDE3NjE3NTI3MzYkajQ0JGwwJGgyOTk1Njc0ODI.,https://www.krispykrunchy.com/contact/,,
Sushi By Us,https://www.sushibyus.com/,,,
Snap Kitchen,https://www.snapkitchen.com/,,,
Champs Tenders,https://1525elysianfields.wixsite.com/champs-tenders,,,
Wing Boss,https://www.wingboss.com/locations/louisiana/new-orleans/new-orleans-s-claiborne-ave?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website,https://wingboss.com/contact/talk-to-wingboss,,
Pizza Hut,https://locations.pizzahut.com/la/new-orleans/1940-saint-claude-avenue,https://www.pizzahut.com/contact-us,,
Earth Grown Meals,https://www.earthgrownmeals.com/contact,https://earthgrownmeals.com/contact,,
